,School,City,County
352,Mesivta Birkas Yitzchok,Los Angeles,los angeles
353,Milken Community High School,Bel-Air,los angeles
354,Netan Eli High School,Los Angeles,los angeles
355,New Community Jewish High School,West Hills,los angeles
356,Ohr HaEmet Institute,Los Angeles,los angeles
357,Shalhevet High School,Los Angeles,los angeles
358,Valley Torah High School,Valley Village,los angeles
359,Valley Torah Lintz High School,Sun Valley,los angeles
360,Yeshiva Gedolah School of Los Angeles/Michael Diller High School,Los Angeles,los angeles
361,Yeshiva High Tech,Los Angeles,los angeles
362,Yeshiva Ohr Elchonon Chabad High School,Los Angeles,los angeles
363,Yeshiva University High School of Los Angeles,Los Angeles,los angeles
364,Yeshiva University High School of Los Angeles,Los Angeles,los angeles
365,Advanced Education Academy,La Canada,los angeles
366,AGBU Vatche and Tamar Manoukian High School,Pasadena,los angeles
367,AGBU Manoogian-Demirdjian School,Canoga Park,los angeles
368,American University Preparatory School,downtown Los Angeles,los angeles
369,Archer School for Girls,Brentwood,los angeles
370,Armenian Mesrobian School,Pico Rivera,los angeles
371,Beverly Hills Preparatory School,Beverly Hills,los angeles
372,Brentwood School,Brentwood,los angeles
373,Bridges Academy,Studio City,los angeles
374,Buckley School,Sherman Oaks,los angeles
375,Chadwick School,Palos Verdes Peninsula,los angeles
376,Crest View Academy,Santa Clarita,los angeles
377,Crossroads School,Santa Monica,los angeles
378,Delphi Academy of Los Angeles,Lake View Terrace,los angeles
379,Excelsior School,Pasadena,los angeles
380,Ferrahian Armenian School,Encino,los angeles
381,Flintridge Preparatory School,La Canada Flintridge,los angeles
382,Harvard-Westlake School,Holmby Hills,los angeles
383,Lycée Français de Los Angeles,Rancho Park – Palms,los angeles
384,Marlborough School,Hancock Park,los angeles
385,Oakwood School,North Hollywood,los angeles
386,Oxford School,Rowland Heights,los angeles
387,Polytechnic School,Pasadena,los angeles
388,Renaissance Academy,Altadena,los angeles
389,Ribet Academy,Glassell Park,los angeles
390,Rio Hondo Preparatory School,Arcadia,los angeles
391,Rose and Alex Pilibos Armenian School,Hollywood,los angeles
392,Rolling Hills Preparatory,Palos Verdes Estates,los angeles
393,Sierra Canyon School,Chatsworth,los angeles
394,STAR Prep Academy,Culver City,los angeles
395,STEM3 Academy,Valley Glen,los angeles
396,TCA Arshag Dickranian Armenian School,Hollywood,los angeles
397,Viewpoint School,Calabasas,los angeles
398,Village Glen High School,Sherman Oaks,los angeles
399,Vistamar School,El Segundo,los angeles
400,The Waverly School,Pasadena,los angeles
401,The Webb Schools,Claremont,los angeles
402,Westridge School for Girls,Pasadena,los angeles
403,Wild Wood High School,Los Angeles,los angeles
404,Wildwood School,Los Angeles,los angeles
405,Windward School,Mar Vista,los angeles
406,Artesia High School,Lakewood,los angeles
407,Cerritos High School,Cerritos,los angeles
408,Richard Gahr High School,Cerritos,los angeles
409,Gretchen Whitney High School,Cerritos,los angeles
410,Tracy High School,Cerritos,los angeles
411,Assurance Learning Academy,Acton,los angeles
412,Vasquez High School,Acton,los angeles
413,Alhambra High School,Alhambra,los angeles
414,Mark Keppel High School,Monterey Park,los angeles
415,San Gabriel High School,San Gabriel,los angeles
416,Alliance for College-Ready Public Schools,Los Angeles,los angeles
417,Alliance Alice M. Baxter College-Ready High School,Los Angeles,los angeles
418,College-Ready Academy High School#4,Los Angeles,los angeles
419,College-Ready Academy High School#6,Los Angeles,los angeles
420,College-Ready Math-Science School,Los Angeles,los angeles
421,Gertz-Ressler Academy High School,Los Angeles,los angeles
422,Heritage College-Ready Academy High School,Los Angeles,los angeles
423,Huntington Park College-Ready High School,Los Angeles,los angeles
424,Richard Merkin Middle Academy,Los Angeles,los angeles
425,Antelope Valley High School,Lancaster,los angeles
426,Assurance Learning Academy,Lancaster,los angeles
427,AV Academy High School,Lake Los Angeles,los angeles
428,AV Academy High School,Palmdale,los angeles
429,AV Learning Academy,Lancaster,los angeles
430,Desert Sands Charter High School,Palmdale,los angeles
431,Desert Winds Continuation High School,Lancaster,los angeles
432,Eastside High School,Lancaster,los angeles
433,Highland High School,Palmdale,los angeles
434,Lancaster High School,Lancaster,los angeles
435,Littlerock High School,Littlerock,los angeles
436,Palmdale High School,Palmdale,los angeles
437,Pete Knight High School,Palmdale,los angeles
438,Quartz Hill High School,Quartz Hill,los angeles
439,R. Rex Parris Continuation High School,Palmdale,los angeles
440,Arcadia High School,Arcadia,los angeles
441,Agvania High School,Los Angeles,los angeles
442,Azusa High School,Azusa,los angeles
443,Gladstone High School,Azusa,los angeles
444,Baldwin Park High School,Los Angeles,los angeles
445,North Park Continuation School,Los Angeles,los angeles
446,Sierra Vista High School,Baldwin Park,los angeles
447,Bassett High School,La Puente,los angeles
448,Bellflower High School,Bellflower,los angeles
449,Mayfair High School,Lakewood,los angeles
450,Somerset High School,Bellflower,los angeles
451,Beverly Hills High School,Beverly Hills,los angeles
452,Bonita High School,La Verne,los angeles
453,San Dimas High School,San Dimas,los angeles
454,Burbank High School,Burbank,los angeles
455,John Burroughs High School,Burbank,los angeles
456,Hawthorne High School,Hawthorne,los angeles
457,Lawndale High School,Lawndale,los angeles
458,Leuzinger High School,Lawndale,los angeles
459,Charter Oak High School,Covina,los angeles
460,Claremont High School,Claremont,los angeles
461,Centennial High School,Compton,los angeles
462,Compton High School,Compton,los angeles
463,Dominguez High School,Compton,los angeles
464,Covina High School,Los Angeles,los angeles
465,Northview High School,Covina,los angeles
466,South Hills High School,West Covina,los angeles
467,Culver City High School,Los Angeles,los angeles
468,Columbus High School,Los Angeles,los angeles
469,Downey High School,Downey,los angeles
470,Warren High School,Downey,los angeles
471,Duarte High School,Duarte,los angeles
472,California School of the Arts - San Gabriel Valley,Los Angeles,los angeles
473,Arroyo High School,El Monte,los angeles
474,El Monte High School,El Monte,los angeles
475,Mountain View High School,El Monte,los angeles
476,Rosemead High School,Rosemead,los angeles
477,South El Monte High School,South El Monte,los angeles
478,El Rancho High School,Pico Rivera,los angeles
479,El Segundo High School,El Segundo,los angeles
480,Clark Magnet High School,Los Angeles,los angeles
481,Crescenta Valley High School,La Crescenta,los angeles
482,Daily High School,Los Angeles,los angeles
483,Glendale High School,Glendale,los angeles
484,Herbert Hoover High School,Glendale,los angeles
485,Glendora High School,Glendora,los angeles
486,Glen A. Wilson High School,Hacienda Heights,los angeles
487,La Puente High School,La Puente,los angeles
488,Los Altos High School,Hacienda Heights,los angeles
489,Puente Hills High School,La Puente,los angeles
490,Valley Alternative High School,La Puente,los angeles
491,William Workman High School,City of Industry,los angeles
492,City Honors High School,Inglewood,los angeles
493,Inglewood High School,Inglewood,los angeles
494,Morningside High School,Inglewood,los angeles
495,Philippine Los Angeles High School,Inglewood,los angeles
496,La Cañada High School,La Cañada Flintridge,los angeles
497,Agoura High School,Agoura,los angeles
498,Calabasas High School,Calabasas,los angeles
499,Cabrillo High School,Long Beach,los angeles
500,California Academy of Math and Science,Los Angeles,los angeles
501,Jordan High School,Long Beach,los angeles
502,Lakewood High School,Los Angeles,los angeles
503,Long Beach Polytechnic High School,Long Beach,los angeles
504,Millikan High School,Long Beach,los angeles
505,Renaissance High School for the Arts,Los Angeles,los angeles
506,Wilson Classical High School,Long Beach,los angeles
507,Firebaugh High School,Lynwood,los angeles
508,Lynwood High School,Lynwood,los angeles
509,Mira Costa High School,Manhattan Beach,los angeles
510,Monrovia High School,Monrovia,los angeles
511,Applied Technology Center,Montebello,los angeles
512,Bell Gardens High School,Bell Gardens,los angeles
513,Montebello High School,Montebello,los angeles
514,Schurr High School,Montebello,los angeles
515,El Camino High School,Whittier,los angeles
516,John Glenn High School,Norwalk,los angeles
517,La Mirada High School,La Mirada,los angeles
518,Norwalk High School,Norwalk,los angeles
519,Southeast Academy Military and Law Enforcement High School Norwalk,Los Angeles,los angeles
520,Palos Verdes High School,Palos Verdes Estates,los angeles
521,Palos Verdes Peninsula High School,Rolling Hills Estates,los angeles
522,Rancho Del Mar High School,Rolling Hills,los angeles
523,Paramount High School,Paramount,los angeles
524,Blair International Baccalaureate School,Pasadena,los angeles
525,Marshall Fundamental Secondary School,Pasadena,los angeles
526,Muir High School,Pasadena,los angeles
527,Pasadena High School,Pasadena,los angeles
528,Diamond Ranch High School,Pomona,los angeles
529,Franklin High School,Pomona,los angeles
530,Ganesha High School,Pomona,los angeles
531,Garey High School,Pomona,los angeles
532,Palomares High School,Pomona,los angeles
533,Pomona High School,Pomona,los angeles
534,Village Academy High School at Indian Hill,Pomona,los angeles
535,Redondo Union High School,Redondo Beach,los angeles
536,John A. Rowland High School,Rowland Heights,los angeles
537,Nogales High School,La Puente,los angeles
538,Santana High School,Rowland Heights,los angeles
539,Del Mar High School,San Gabriel,los angeles
540,Gabrielino High School,San Gabriel,los angeles
541,San Marino High School,San Marino,los angeles
542,Malibu High School,Malibu,los angeles
543,Olympic High School,Santa Monica,los angeles
544,Santa Monica High School,Santa Monica,los angeles
545,South Pasadena High School,South Pasadena,los angeles
546,Temple City High School,Temple City,los angeles
547,Kurt T. Shery High School,Torrance,los angeles
548,North High School,Torrance,los angeles
549,South High School,Torrance,los angeles
550,Torrance High School,Torrance,los angeles
551,West High School,Torrance,los angeles
552,Diamond Bar High School,Diamond Bar,los angeles
553,Ron Hockwalt Academies,Walnut,los angeles
554,Walnut High School,Walnut,los angeles
555,Edgewood High School,West Covina,los angeles
556,West Covina High School,West Covina,los angeles
557,California High School,Whittier,los angeles
558,La Serna High School,Whittier,los angeles
559,Pioneer High School,Whittier,los angeles
560,Santa Fe High School,Santa Fe Springs,los angeles
561,Whittier High School,Whittier,los angeles
562,Academy of the Canyons,Santa Clarita,los angeles
563,Canyon High School,Canyon Country,los angeles
564,Golden Valley High School,Santa Clarita,los angeles
565,Saugus High School,Saugus,los angeles
566,Valencia High School,Valencia,los angeles
567,West Ranch High School,Stevenson Ranch,los angeles
568,William S. Hart High School,Newhall,los angeles
569,Assurance Learning Academy,Los Angeles,los angeles
570,Assurance Learning Academy,Wilmington,los angeles
571,Animo Inglewood Charter High School,Inglewood,los angeles
572,Animo Leadership Charter High School,Inglewood,los angeles
573,Animo Locke Technology High School,Los Angeles,los angeles
574,Booth High School,Los Angeles,los angeles
575,Carter-Walters Preparatory School of the Arts,San Dimas,los angeles
576,Crittenton High School,Los Angeles,los angeles
577,Da Vinci Schools,Hawthorne,los angeles
578,Desert Sands Charter High School,Garden Grove,los angeles
579,Desert Sands Charter High School,Long Beach,los angeles
580,Desert Sands Charter High School,Norwalk,los angeles
581,Desert Sands Charter High School,Santa Ana,los angeles
582,Desert Sands Charter School,Lancaster,los angeles
583,Environmental Charter High School,Lawndale,los angeles
584,Fred C. Nelles High School,Whittier,los angeles
585,International Polytechnic High School,Pomona,los angeles
586,Jack B. Clarke High School,Norwalk,los angeles
587,Los Angeles Complex Science Academy,Los Angeles,los angeles
588,Los Angeles County High School for the Arts,Los Angeles,los angeles
589,Mission View Public Charter,Gardena,los angeles
590,Mission View Public Charter,Inglewood,los angeles
591,Mission View Public Charter,Los Angeles,los angeles
592,Mission View Public Charter,North Hills,los angeles
593,Mission View Public Charter,Pacoima,los angeles
594,Mission View Public Charter,Panorama City,los angeles
595,Mission View Public Charter,San Fernando,los angeles
596,Mission View Public Charter,Valencia,los angeles
597,Montclair College Preparatory School,Van Nuys,los angeles
598,Pacific Learning Center Charter,Long Beach,los angeles
599,Paramount High School Academy,Lakewood,los angeles
600,Pathway High School,Lynwood,los angeles
601,Promise Academy,Long Beach,los angeles
602,Soledad Enrichment Action Charter School,Los Angeles,los angeles
603,Chowchilla High School,Chowchilla,madera
604,Evergreen High School,Oakhurst,madera
605,Glacier Charter High School,Oakhurst,madera
606,Madera High School,Madera,madera
607,Madera South High School,Madera,madera
608,Minarets High School,O'Neals,madera
609,Mountain Oaks High School,North Fork,madera
610,Pioneer Technical Center,Madera,madera
611,Yosemite High School,Oakhurst,madera
612,The Branson School,Ross,marin
613,Marin Academy,San Rafael,marin
614,Marin Catholic High School,Kentfield,marin
615,Marin Oaks High School,Novato,marin
616,North Bay Christian Academy,Novato,marin
617,Novato High School,Novato,marin
618,Redwood High School,Larkspur,marin
619,San Domenico School,San Anselmo,marin
620,San Marin High School,Novato,marin
621,San Rafael High School,San Rafael,marin
622,Sir Francis Drake High School,San Anselmo,marin
623,Tamalpais High School,Mill Valley,marin
624,Terra Linda High School,San Rafael,marin
625,Tomales High School,Tomales,marin
626,Coulterville High School,Coulterville,mariposa
627,Mariposa County High School,Mariposa,mariposa
628,Yosemite Park High School,Yosemite,mariposa
629,Anderson Valley Junior-Senior High School,Boonville,mendocino
630,Developing Virtue Secondary School,Ukiah,mendocino
631,Fort Bragg High School,Fort Bragg,mendocino
632,Laytonville High School,Laytonville,mendocino
633,Leggett Valley High School,Leggett,mendocino
634,Mendocino High School,Mendocino,mendocino
