,code,city
310,530,Bieber
311,530,Big Bend
312,530,Biggs
313,530,Blairsden
314,530,Bridgeport
315,530,Bucks Lake
316,530,Burney
317,530,Butte Creek Canyon
318,530,Butte Meadows
319,530,Butte Valley
320,530,California Pines
321,530,Calpine
322,530,Cameron Park
323,530,Camino
324,530,Camptonville
325,530,Canby
326,530,Canyondam
327,530,Caribou
328,530,Carnelian Bay
329,530,Carrick
330,530,Cassel
331,530,Cedarville
332,530,Challenge-Brownsville
333,530,Cherokee
334,530,Chester
335,530,Chico
336,530,Chilcoot-Vinton
337,530,Clear Creek
338,530,Clio
339,530,Clipper Mills
340,530,Coffee Creek
341,530,Cohasset
342,530,Cold Springs
343,530,Coleville
344,530,Colfax
345,530,College City
346,530,Coloma
347,530,Colusa
348,530,Concow
349,530,Corning
350,530,Cottonwood
351,530,Crescent Mills
352,530,C-Road
353,530,Cromberg
354,530,Daphnedale Park
355,530,Davis
356,530,Delleker
357,530,Diamond Springs
358,530,Dobbins
359,530,Dollar Point
360,530,Dorris
361,530,Douglas City
362,530,Downieville
363,530,Doyle
364,530,Dunnigan
365,530,Dunsmuir
366,530,Durham
367,530,Dutch Flat
368,530,Eagleville
369,530,East Nicolaus
370,530,East Quincy
371,530,East Shore
372,530,Edgewood
373,530,Elk Creek
374,530,Esparto
375,530,Etna
376,530,Fall River Mills
377,530,Floriston
378,530,Flournoy
379,530,Forbestown
380,530,Foresthill
381,530,Forest Ranch
382,530,Fort Bidwell
383,530,Fort Jones
384,530,French Gulch
385,530,Gazelle
386,530,Georgetown
387,530,Gerber
388,530,Gold Mountain
389,530,Goodyears Bar
390,530,Graeagle
391,530,Graniteville
392,530,Grass Valley
393,530,Greenhorn
394,530,Greenview
395,530,Greenville
396,530,Grenada
397,530,Gridley
398,530,Grimes
399,530,Grizzly Flats
400,530,Guinda
401,530,Hamilton Branch
402,530,Hamilton City
403,530,Happy Camp
404,530,Hat Creek
405,530,Hayfork
406,530,Herlong
407,530,Honcut
408,530,Hornbrook
409,530,Indian Falls
410,530,Iron Horse
411,530,Janesville
412,530,Johnstonville
413,530,Johnsville
414,530,Junction City
415,530,Keddie
416,530,Kelly Ridge
417,530,Keswick
418,530,Kings Beach
419,530,Kingvale
420,530,Kirkwood
421,530,Knights Landing
422,530,Lake Almanor Country Club
423,530,Lake Almanor Peninsula
424,530,Lake Almanor West
425,530,Lake California
426,530,Lake City
427,530,Lake Davis
428,530,Lakehead
429,530,Lake of the Pines
430,530,Lake Wildwood
431,530,La Porte
432,530,Las Flores
433,530,Lee Vining
434,530,Lewiston
435,530,Likely
436,530,Linda
437,530,Litchfield
438,530,Little Grass Valley
439,530,Live Oak
440,530,Lodoga
441,530,Loma Rica
442,530,Lookout
443,530,Los Molinos
444,530,Loyalton
445,530,Mabie
446,530,McArthur
447,530,McCloud
448,530,Macdoel
449,530,Madison
450,530,Magalia
451,530,Manton
452,530,Markleeville
453,530,Marysville
454,530,Maxwell
455,530,Meadow Valley
456,530,Meadow Vista
457,530,Meridian
458,530,Mesa Vista
459,530,Milford
460,530,Millville
461,530,Mineral
462,530,Mohawk Vista
463,530,Mono City
464,530,Montague
465,530,Montgomery Creek
466,530,Monument Hills
467,530,Mountain Gate
468,530,Mount Hebron
469,530,Mount Shasta
470,530,Nevada City
471,530,Newell
472,530,New Pine Creek
473,530,Nicolaus
474,530,Nord
475,530,North Auburn
476,530,North San Juan
477,530,Nubieber
478,530,Old Station
479,530,Olivehurst
480,530,Orland
481,530,Oroville
482,530,Oroville East
483,530,Palermo
484,530,Palo Cedro
485,530,Paradise
486,530,Paskenta
487,530,Patton Village
488,530,Paxton
489,530,Paynes Creek
490,530,Penn Valley
491,530,Pike
492,530,Placerville
493,530,Plumas Eureka
494,530,Plumas Lake
495,530,Pollock Pines
496,530,Portola
497,530,Prattville
498,530,Princeton
499,530,Proberta
500,530,Quincy
501,530,Rackerby
502,530,Rancho Tehama Reserve
503,530,Red Bluff
504,530,Redding
505,530,Richfield
506,530,Richvale
507,530,Rio Oso
508,530,Robbins
509,530,Robinson Mill
510,530,Rough and Ready
511,530,Round Mountain
512,530,Sattley
513,530,Shasta
514,530,Shasta Lake
515,530,Shingle Springs
516,530,Shingletown
517,530,Sierra Brooks
518,530,Sierra City
519,530,Sierraville
520,530,Smartsville
521,530,Soda Springs
522,530,South Lake Tahoe
523,530,South Oroville
524,530,Spaulding
