Course,Description,Type,Sections,GE,Req,ECap,Enrl,WaitA,WaitD,WaitU,Drop,Wthd
CSC 225,Introduction to Computer Organization,Lec,2,,4057,60,41,0,,,5,0
CSC 225,Introduction to Computer Organization,Lab,2,,4057,60,41,0,,,5,0
CSC 305,Individual Software Design and Development,Lec,1,,1281,30,31,23,,,19,8
CSC 305,Individual Software Design and Development,Lab,1,,1281,30,31,23,,,19,0
CSC 307,Introduction to Software Engineering,Lec,2,,2464,65,70,48,,,13,1
CSC 307,Introduction to Software Engineering,Lab,2,,2464,65,70,48,,,13,0
CSC 309,Software Engineering II,Lec,2,,1080,60,65,0,,,5,1
CSC 309,Software Engineering II,Lab,2,,1080,60,65,0,,,5,0
CSC 348,Discrete Structures,Lec,4,,3809,120,142,20,,,27,3
CSC 349,Design and Analysis of Algorithms,Lec,3,,2076,105,118,76,,,27,3
CSC 349,Design and Analysis of Algorithms,Lab,3,,2076,105,118,76,,,27,0
CSC 365,Introduction to Database Systems,Lec,2,,3807,60,68,61,,,16,0
CSC 365,Introduction to Database Systems,Lab,2,,3807,60,68,61,,,16,0
CSC 366,"Database Modeling, Design and Implementation",Lec,1,,1085,30,27,0,,,7,0
CSC 366,"Database Modeling, Design and Implementation",Lab,1,,1085,30,27,0,,,7,0
CSC 371,Game Design,Lec,1,,4068,30,34,21,,,11,0
CSC 371,Game Design,Lab,1,,4068,30,34,21,,,11,0
CSC 406,Software Deployment,Lec,2,,1087,60,53,0,,,2,0
CSC 406,Software Deployment,Lab,2,,1087,60,53,0,,,2,0
CSC 430,Programming Languages I,Lec,1,,1089,30,43,31,,,8,1
CSC 430,Programming Languages I,Lab,1,,1089,30,43,31,,,8,0
CSC 431,Programming Languages II,Lec,3,,1090,90,77,11,,,20,1
CSC 431,Programming Languages II,Lab,3,,1090,90,77,11,,,20,0
CSC 436,Mobile Application Development,Lec,2,,,50,62,35,,,23,0
CSC 436,Mobile Application Development,Lab,2,,,50,62,35,,,23,0
CSC 445,Theory of Computation I,Lec,2,,2814,60,60,37,,,22,2
CSC 448,Bioinformatics Algorithms,Lec,1,,3181,30,29,17,,,5,0
CSC 448,Bioinformatics Algorithms,Lab,1,,3181,30,29,17,,,5,0
CSC 450,Computing for Interactive Arts Capstone II,Lab,1,,3815,15,12,0,,,0,0
CSC 466,Knowledge Discovery from Data,Lec,1,,1219,22,36,17,,,11,1
CSC 466,Knowledge Discovery from Data,Lab,1,,1219,22,36,17,,,11,0
CSC 471,Introduction to Computer Graphics,Lec,1,,3144,30,30,13,,,16,1
CSC 471,Introduction to Computer Graphics,Lab,1,,3144,30,30,13,,,16,0
CSC 473,Advanced Rendering Techniques,Lec,1,,1100,30,25,0,,,11,0
CSC 473,Advanced Rendering Techniques,Lab,1,,1100,30,25,0,,,11,0
CSC 474,Computer Animation,Lec,1,,1100,30,31,1,,,6,2
CSC 474,Computer Animation,Lab,1,,1100,30,31,1,,,6,0
CSC 484,User-Centered Interface Design and Development,Lec,1,,2091,30,38,17,,,6,0
CSC 484,User-Centered Interface Design and Development,Lab,1,,2091,30,38,17,,,6,0
CSC 486,Human-Computer Interaction Theory and Design,Lec,1,,3584,30,41,1,,,3,0
CSC 486,Human-Computer Interaction Theory and Design,Lab,1,,3584,30,41,1,,,3,0
CSC 490,Selected Advanced Topics,Lec,1,,,0,32,0,,,10,0
CPE 101,Fundamentals of Computer Science,Lec,8,,2868,240,295,117,,,80,12
CPE 101,Fundamentals of Computer Science,Lab,8,,2868,240,295,117,,,80,0
CPE 202,Data Structures,Lec,9,,4056,261,285,59,,,86,9
CPE 202,Data Structures,Lab,9,,4056,261,285,59,,,86,0
CPE 203,Project-Based Object-Oriented Programming and Design,Lec,3,,1691,105,83,0,,,8,5
CPE 203,Project-Based Object-Oriented Programming and Design,Lab,3,,1691,105,83,0,,,8,0
CPE 315,Computer Architecture,Lec,7,,3176,210,195,22,,,65,3
CPE 315,Computer Architecture,Lab,7,,3176,210,195,22,,,65,0
CPE 357,Systems Programming,Lec,6,,3178,130,195,52,,,57,13
CPE 357,Systems Programming,Lab,6,,3178,130,195,52,,,57,0
