,School,City,County
159,Caruthers High School,Caruthers,Fresno County
160,Central High School,Fresno,Fresno County
161,Charter Academy of Ambassador Phillip V. Sanchez,Fresno,Fresno County
162,Coalinga High School,Coalinga,Fresno County
163,Crescent View South Public Charter,Clovis,Fresno County
164,Crescent View South Public Charter,Fresno,Fresno County
165,Crescent View West Public Charter,Fresno,Fresno County
166,Dewolf West High School,Fresno,Fresno County
167,Firebaugh High School,Firebaugh,Fresno County
168,Fowler High School,Fowler,Fresno County
169,Fresno Prep Academy,Fresno,Fresno County
170,Immanuel High School,Reedley,Fresno County
171,Kerman High School,Kerman,Fresno County
172,Kingsburg High School,Kingsburg,Fresno County
173,Laton High School,Laton,Fresno County
174,Mendota High School,Mendota,Fresno County
175,New Millennium Charter School,Fresno,Fresno County
176,Parlier High School,Parlier,Fresno County
177,Reedley High School,Reedley,Fresno County
178,Riverdale High School,Riverdale,Fresno County
179,San Joaquin Memorial High School,Fresno,Fresno County
180,Sanger High School,Sanger,Fresno County
181,School of Unlimited Learning,Fresno,Fresno County
182,Selma High School,Selma,Fresno County
183,Sierra High School,Tollhouse,Fresno County
184,Tranquillity High School,Tranquility,Fresno County
185,University High School,Fresno,Fresno County
186,Washington Union High School,Fresno,Fresno County
187,Elk Creek Junior-Senior High School,Elk Creek,Glenn County
188,Hamilton Union High School,Hamilton City,Glenn County
189,Orland High School,Orland,Glenn County
190,Princeton Junior-Senior High School,Princeton,Glenn County
191,Willows High School,Willows,Glenn County
192,Academy of the Redwoods Early college high school,Fortuna,Humboldt County
193,Arcata High School,Arcata,Humboldt County
194,Eureka High School,Eureka,Humboldt County
195,Ferndale High School,Ferndale,Humboldt County
196,Fortuna Union High School,Fortuna,Humboldt County
197,Hoopa Valley High School,Hoopa,Humboldt County
198,Humboldt Bay High School,Eureka,Humboldt County
199,Mattole Triple Junction High School,Petrolia,Humboldt County
200,McKinleyville High School,McKinleyville,Humboldt County
201,St. Bernard's High School,Eureka,Humboldt County
202,South Fork High School,Miranda,Humboldt County
203,Brawley,Brawley,Imperial County
204,Brawley Union High School,Brawley,Imperial County
205,Calexico High School,Calexico,Imperial County
206,Calipatria High School,Calipatria,Imperial County
207,Central Union High School,El Centro,Imperial County
208,De Anza High School,Calexico,Imperial County
209,Desert Valley High School,Brawley,Imperial County
210,Holtville High School,Holtville,Imperial County
211,Imperial High School,Imperial,Imperial County
212,San Pasqual Valley High School,Winterhaven,Imperial County
213,Southwest High School,El Centro,Imperial County
214,Vincent Memorial High School,Calexico,Imperial County
215,West Shores High School,Salton City,Imperial County
216,Big Pine High School,Big Pine,Inyo County
217,Bishop High School,Bishop,Inyo County
218,Death Valley Academy,Shoshone,Inyo County
219,Lone Pine High School,Lone Pine,Inyo County
220,Owens Valley High School,Independence,Inyo County
221,Arvin High School,Arvin,Kern County
222,Bakersfield Christian High School,Bakersfield,Kern County
223,Bakersfield High School,Bakersfield,Kern County
224,Boron Junior-Senior High School,Boron,Kern County
225,Burroughs High School,Ridgecrest,Kern County
226,Centennial High School,Bakersfield,Kern County
227,Central Valley High School,Bakersfield,Kern County
228,Cesar E. Chavez High School,Delano,Kern County
229,Delano High School,Delano,Kern County
230,Desert Junior/Senior High School,Edwards,Kern County
231,East Bakersfield High School,Bakersfield,Kern County
232,Foothill High School,Bakersfield,Kern County
233,Frazier Mountain High School,Lebec,Kern County
234,Frontier High School,Bakersfield,Kern County
235,Garces Memorial High School,Bakersfield,Kern County
236,Golden Valley High School,Bakersfield,Kern County
237,Highland High School,Bakersfield,Kern County
238,Independence High School,Bakersfield,Kern County
239,Kern Valley High School,Lake Isabella,Kern County
240,Liberty High School,Bakersfield,Kern County
241,Maricopa High School,Maricopa,Kern County
242,McFarland High School,McFarland,Kern County
243,Mira Monte High School,Bakersfield,Kern County
244,Mojave High School 1954,Mojave,Kern County
245,North High School,San Lorenzo,Kern County
246,Ridgeview High School,Bakersfield,Kern County
247,Robert F. Kennedy High School,Delano,Kern County
248,Rosamond High School,Rosamond,Kern County
249,Shafter High School,Shafter,Kern County
250,South High School,Bakersfield,Kern County
251,Stockdale High School,Bakersfield,Kern County
252,Taft Union High School,Taft,Kern County
253,Tehachapi High School,Tehachapi,Kern County
254,Wasco High School,Wasco,Kern County
255,West High School,Bakersfield,Kern County
256,Avenal High School,Avenal,Kings County
257,Corcoran High School,Corcoran,Kings County
258,Crescent Valley Public Charter,Hanford,Kings County
259,Hanford High School,Hanford,Kings County
260,Hanford West High School,Hanford,Kings County
261,Earl F. Johnson Continuation School,Hanford,Kings County
262,Kings Community School,Hanford,Kings County
263,Lemoore High School,Lemoore,Kings County
264,Sierra Pacific High School,Hanford,Kings County
265,Armona Union Academy,Armona,Kings County
266,Clear Lake High School,Lakeport,Lake County
267,Intermountain High School,Cobb,Lake County
268,Kelseyville High School,Kelseyville,Lake County
269,Lower Lake High School,Lower Lake,Lake County
270,Middletown High School,Middletown,Lake County
271,Upper Lake High School,Upper Lake,Lake County
272,Big Valley High School,Bieber,Lassen County
273,Herlong High School,Herlong,Lassen County
274,Lassen High School,Susanville,Lassen County
275,Westwood High School,Westwood,Lassen County
276,Chowchilla High School,Chowchilla,Madera County
277,Evergreen High School,Oakhurst,Madera County
278,Glacier Charter High School,Oakhurst,Madera County
279,Madera High School,Madera,Madera County
280,Madera South High School,Madera,Madera County
281,Minarets High School,O'Neals,Madera County
282,Mountain Oaks High School,North Fork,Madera County
283,Pioneer Technical Center,Madera,Madera County
284,Yosemite High School,Oakhurst,Madera County
285,The Branson School,Ross,Marin County
286,Marin Academy,San Rafael,Marin County
287,Marin Catholic High School,Kentfield,Marin County
288,Marin Oaks High School,Novato,Marin County
289,North Bay Christian Academy,Novato,Marin County
290,Novato High School,Novato,Marin County
291,Redwood High School,Larkspur,Marin County
292,San Domenico School,San Anselmo,Marin County
293,San Marin High School,Novato,Marin County
294,San Rafael High School,San Rafael,Marin County
295,Sir Francis Drake High School,San Anselmo,Marin County
296,Tamalpais High School,Mill Valley,Marin County
297,Terra Linda High School,San Rafael,Marin County
298,Tomales High School,Tomales,Marin County
299,Coulterville High School,Coulterville,Mariposa County
300,Mariposa County High School,Mariposa,Mariposa County
301,Yosemite Park High School,Yosemite,Mariposa County
302,Anderson Valley Junior-Senior High School,Boonville,Mendocino County
303,Developing Virtue Secondary School,Ukiah,Mendocino County
304,Fort Bragg High School,Fort Bragg,Mendocino County
305,Laytonville High School,Laytonville,Mendocino County
306,Leggett Valley High School,Leggett,Mendocino County
307,Mendocino High School,Mendocino,Mendocino County
308,Pacific Community Charter High School,Point Arena,Mendocino County
309,Point Arena High School,Point Arena,Mendocino County
310,Potter Valley High School,Potter Valley,Mendocino County
311,Redwood Academy of Ukiah,Ukiah,Mendocino County
312,Round Valley High School,Covelo,Mendocino County
313,South Coast High School,Point Arena,Mendocino County
314,Ukiah High School,Ukiah,Mendocino County
315,Whale Gulch High School,Whitethorn,Mendocino County
316,Willits Charter School,Willits,Mendocino County
317,Willits High School,Willits,Mendocino County
318,Yokayo Valley Charter High School,Ukiah,Mendocino County
319,Atwater High School,Atwater,Merced County
320,Buhach Colony High School,Atwater,Merced County
321,Delhi High School,Delhi,Merced County
322,Dos Palos High School,Dos Palos,Merced County
323,Golden Valley High School,Merced,Merced County
324,Gustine High School,Gustine,Merced County
325,Hilmar High School,Hilmar,Merced County
326,Le Grand High School,Le Grand,Merced County
327,Livingston High School,Livingston,Merced County
328,Los Banos High School,Los Banos,Merced County
329,Merced High School,Merced,Merced County
330,Pacheco High School,Los Banos,Merced County
331,Stone Ridge Christian High School,Merced,Merced County
332,Valley High School,Atwater,Merced County
333,Valley High School,Los Banos,Merced County
334,Valley High School,Merced,Merced County
335,Great Basin High School,Cedarville,Modoc County
336,Modoc High School,Alturas,Modoc County
337,Surprise Valley High School,Cedarville,Modoc County
338,Warner High School,Alturas,Modoc County
339,Coleville High School,Coleville,Mono County
340,Eastern Sierra Academy,Bridgeport,Mono County
341,Lee Vining High School,Lee Vining,Mono County
342,Mammoth High School,Mammoth Lakes,Mono County
343,Greenfield High School,Greenfield,Monterey County
344,King City High School,King City,Monterey County
345,Central Coast High School,Seaside,Monterey County
346,Marina High School,Marina,Monterey County
347,Monterey High School,Monterey,Monterey County
348,Seaside High School,Seaside,Monterey County
349,North Monterey County High School,Castroville,Monterey County
350,Pacific Grove High School,Pacific Grove,Monterey County
351,Alisal High School,Salinas,Monterey County
352,Everett Alvarez High School,Salinas,Monterey County
353,North Salinas High School,Salinas,Monterey County
354,Salinas High School,Salinas,Monterey County
355,Carmel High School,Carmel,Monterey County
356,Cypress Grove Charter High School for Arts and Science,Carmel (closed in 2006),Monterey County
357,Gonzales High School,Gonzales,Monterey County
358,Notre Dame High School,Salinas,Monterey County
359,Palma School,Salinas,Monterey County
360,Santa Catalina School,Monterey,Monterey County
361,Soledad High School,Soledad,Monterey County
362,Stevenson School,Pebble Beach,Monterey County
363,Trinity Christian High School,Monterey,Monterey County
364,York School,Monterey,Monterey County
365,American Canyon High School,American Canyon,Napa County
366,Calistoga High School,Calistoga,Napa County
367,Justin-Siena High School,Napa,Napa County
368,Napa High School,Napa,Napa County
369,New Technology High School,Napa,Napa County
370,Pacific Union College Prep School,Angwin,Napa County
371,St. Helena High School,St. Helena,Napa County
372,Valley Oak High School,Napa,Napa County
373,Vintage High School,Napa,Napa County
374,Bear River High School,Grass Valley,Nevada County
375,Bitney College Preparatory High School,Grass Valley,Nevada County
376,Ghidotti Early College High School,Grass Valley,Nevada County
377,Nevada Union High School,Grass Valley,Nevada County
378,Sierra Mountain High School,Grass Valley,Nevada County
379,Tahoe-Truckee High School,Truckee,Nevada County
380,Anaheim High School,Anaheim,Orange County
381,Katella High School,Anaheim,Orange County
382,John F. Kennedy High School,La Palma,Orange County
383,Loara High School,Anaheim,Orange County
384,Cypress High School,Cypress,Orange County
385,Oxford Academy,Cypress,Orange County
386,Magnolia High School,Anaheim,Orange County
387,Savanna High School,Anaheim,Orange County
388,Western High School,Anaheim,Orange County
389,Brea Canyon Alternative High School,Brea,Orange County
390,Brea Olinda High School,Brea,Orange County
391,Aliso Niguel High School,Aliso Viejo,Orange County
392,Capistrano Valley High School,Mission Viejo,Orange County
393,Dana Hills High School,Dana Point,Orange County
394,San Juan Hills High School,San Juan Capistrano,Orange County
395,San Clemente High School,San Clemente,Orange County
396,Tesoro High School,Rancho Santa Margarita,Orange County
397,Fred Newhart Middle School,Mission Viejo,Orange County
398,Fullerton Union High School,Fullerton,Orange County
399,La Vista High School,Fullerton,Orange County
400,Sunny Hills High School,Fullerton,Orange County
401,Troy High School,Fullerton,Orange County
402,Buena Park High School,Buena Park,Orange County
403,La Habra High School,La Habra,Orange County
404,Sonora High School,La Habra,Orange County
405,Garden Grove High School,Garden Grove,Orange County
406,Pacifica High School,Garden Grove,Orange County
407,Rancho Alamitos High School,Garden Grove,Orange County
408,Santiago High School,Garden Grove,Orange County
409,Bolsa Grande High School,Garden Grove,Orange County
410,La Quinta High School,Westminster,Orange County
411,Los Amigos High School,Fountain Valley,Orange County
412,Edison High School,Huntington Beach,Orange County
413,Huntington Beach High School,Huntington Beach,Orange County
414,Marina High School,Huntington Beach,Orange County
415,Ocean View High School,Huntington Beach,Orange County
416,Westminster High School,Westminster,Orange County
417,Fountain Valley High School,Fountain Valley,Orange County
418,Irvine High School,Irvine,Orange County
419,Northwood High School,Irvine,Orange County
420,Portola High School,Irvine,Orange County
421,University High School,Irvine,Orange County
422,Woodbridge High School,Irvine,Orange County
423,Laguna Beach High School,Laguna Beach,Orange County
424,Los Alamitos High School,Los Alamitos,Orange County
425,Corona del Mar High School,Newport Beach,Orange County
426,Costa Mesa High School,Costa Mesa,Orange County
427,Estancia High School,Costa Mesa,Orange County
428,Early College High School,Costa Mesa,Orange County
429,Newport Harbor High School,Newport Beach,Orange County
430,El Modena High School,Orange,Orange County
431,Orange High School,Orange,Orange County
432,Villa Park High School,Villa Park,Orange County
433,Richland Continuation High School,Orange,Orange County
434,Canyon High School,Anaheim,Orange County
435,El Camino High School,Placentia,Orange County
436,El Dorado High School,Placentia,Orange County
437,Valencia High School,Placentia,Orange County
438,Esperanza High School,Anaheim,Orange County
439,Yorba Linda High School,Yorba Linda,Orange County
440,El Toro High School,Lake Forest,Orange County
441,Laguna Hills High School,Laguna Hills,Orange County
442,Mission Viejo High School,Mission Viejo,Orange County
443,Silverado High School,Mission Viejo,Orange County
444,Trabuco Hills High School,Mission Viejo,Orange County
445,Albor Charter School,Santa Ana,Orange County
446,Century High School,Santa Ana,Orange County
447,Cesar Chavez High School,Santa Ana,Orange County
448,Godinez Fundamental High School,Santa Ana,Orange County
449,Lorin Griset Academy,Santa Ana,Orange County
450,Middle College High School,Santa Ana,Orange County
451,Orange County High School of the Arts,Santa Ana,Orange County
452,Saddleback High School,Santa Ana,Orange County
453,Santa Ana High School,Santa Ana,Orange County
454,Segerstrom Fundamental High School,Santa Ana,Orange County
455,Valley High School,Santa Ana,Orange County
456,Arnold O. Beckman High School,Tustin,Orange County
457,Foothill High School,North Tustin,Orange County
458,Hillview High School,California),Orange County
459,Tustin High School,Tustin,Orange County
460,Bishop Amat Memorial High School,La Puente,Diocesan
461,Mater Dei High School,Santa Ana,Diocesan
462,Rosary High School,Fullerton,Diocesan
463,Santa Margarita Catholic High School,Rancho Santa Margarita,Diocesan
464,Cornelia Connelly High School,Anaheim,Independent
465,Padre Pio Academy,Garden Grove,Independent
466,JSerra Catholic High School,San Juan Capistrano,Independent
467,St. Michael's Preparatory School,Silverado,Independent
468,Servite High School,Anaheim,Independent
469,Orangewood Academy[1],San Lorenzo,7th Day Adventist
470,Brethren Christian Junior/Senior High School,Huntington Beach,Non-denominational
471,Capistrano Valley Christian Schools,San Juan Capistrano,Non-denominational
472,Calvary Chapel High School,Santa Ana,Non-denominational
473,Crystal Cathedral High School,Garden Grove,Non-denominational
474,Saddleback Valley Christian School,San Juan Capistrano,Non-denominational
475,Spirit Christian Academy,Tustin,Non-denominational
476,Whittier Christian High School,La Habra,Non-denominational
477,Grace OC Academy,Anaheim,Non-denominational
478,St. Margaret's Episcopal School,San Lorenzo,Episcopal
479,Crean Lutheran High School,Irvine,Lutheran
480,Lutheran High School of Orange County,Orange,Lutheran
481,Acaciawood Preparatory Academy,Anaheim,Nonsectarian
482,Alton School,Cypress,Nonsectarian
483,Eldorado-Emerson,Orange,Nonsectarian
484,Fairmont Preparatory Academy,Anaheim,Nonsectarian
485,Florence Crittenton School,Fullerton,Nonsectarian
486,Fusion Academy & Learning Center,Huntington Beach,Nonsectarian
487,Fusion Academy & Learning Center,Mission Viejo,Nonsectarian
488,Halstrom High School,Mission Viejo,Nonsectarian
489,Sage Hill School,Newport Beach,Nonsectarian
490,Silverleaf Academy,Mission Viejo,Nonsectarian
491,Desert Sands Charter High School,Anaheim,Nonsectarian
492,Desert Sands Charter High School,Garden Grove,Nonsectarian
493,Desert Sands Charter High School,Santa Ana,Nonsectarian
494,Colfax High School,Colfax,Placer County
495,Del Oro High School,Loomis,Placer County
496,Forest Lake Christian High School,Auburn,Placer County
497,Foresthill High School,Foresthill,Placer County
498,Granite Bay High School,Granite Bay,Placer County
499,Horizon Charter School,Lincoln,Placer County
500,Lincoln High School,Lincoln,Placer County
501,North Tahoe High School,Tahoe City,Placer County
502,Oakmont High School,Roseville,Placer County
503,Pine Hills Adventist Academy,Auburn,Placer County
504,Placer High School,Auburn,Placer County
505,Rocklin High School,Rocklin,Placer County
506,Roseville High School,Roseville,Placer County
507,Sierra Christian High School,Rocklin,Placer County
508,Squaw Valley Academy,Squaw Valley,Placer County
509,Whitney High School,Rocklin,Placer County
510,Woodcreek High School,Roseville,Placer County
511,Western Sierra Collegiate Academy,Rocklin,Placer County
512,Chester High School,Chester,Plumas County
513,Greenville Junior-Senior High School,Greenville,Plumas County
514,Pine Hills Adventist School,San Lorenzo,Plumas County
515,Portola High School,Portola,Plumas County
516,Quincy High School,Quincy,Plumas County
517,Amistad High School,Indio,Riverside County
518,Arlington High School,Riverside,Riverside County
519,Banning High School,Banning,Riverside County
520,Beaumont High School,Beaumont,Riverside County
521,California Lutheran High School,Wildomar,Riverside County
522,Calvary Chapel Christian School,Murrieta,Riverside County
523,Canyon Springs High School,Moreno Valley,Riverside County
524,Cathedral City High School,Cathedral City,Riverside County
525,Centennial High School,Corona,Riverside County
526,Chaparral High School,Temecula,Riverside County
527,Christian School of the Desert,Bermuda Dunes,Riverside County
528,Citrus Hill High School,Perris,Riverside County
529,Coachella Valley High School,Thermal,Riverside County
530,Corona High School,Corona,Riverside County
531,Desert Adventist Academy,Desert Hot Springs,Riverside County
532,Desert Chapel High School,Palm Springs,Riverside County
533,Desert Hot Springs High School,Desert Hot Springs,Riverside County
534,Desert Mirage High School,Thermal,Riverside County
535,Eagle Mountain,Desert Center,Riverside County
536,Eleanor Roosevelt High School Eastvale,San Lorenzo,Riverside County
537,Elsinore High School,Wildomar,Riverside County
538,Grace Chapel of the Desert School,Indio,Riverside County
539,Great Oak High School,Temecula,Riverside County
540,Hamilton High School,Anza,Riverside County
541,Hemet Academy of Applied Academics and Technology,Hemet,Riverside County
542,Hemet High School,Hemet,Riverside County
543,Heritage High School,Menifee,Riverside County
544,Idyllwild Arts Academy,Idyllwild,Riverside County
545,Indio High School,Indio,Riverside County
546,John F. Kennedy Middle College High School,Norco,Riverside County
547,John W. North High School,Riverside,Riverside County
548,Jurupa Valley High School,Jurupa Valley,Riverside County
549,La Familia High School,Thermal,Riverside County
550,La Quinta High School,La Quinta,Riverside County
551,La Sierra Adventist Academy,Riverside,Riverside County
552,La Sierra High School,Riverside,Riverside County
553,Lakeside High School,Lake Elsinore,Riverside County
554,Lee Pollard High School,Corona,Riverside County
555,Linfield Christian School,Temecula,Riverside County
556,Martin Luther King Jr. High School,Riverside,Riverside County
557,Mater Dei High School,Mecca,Riverside County
558,Mesa Grande Academy,Calimesa,Riverside County
559,Mojave Desert,Desert Hot Springs,Riverside County
560,Mount San Jacinto High School,Cathedral City,Riverside County
561,Moreno Valley High School,Moreno Valley,Riverside County
562,Murrieta Mesa High School,Murrieta,Riverside County
563,Murrieta Valley High School,Murrieta,Riverside County
564,Norco High School,Norco,Riverside County
565,Norte Vista High School,Riverside,Riverside County
566,Notre Dame Catholic High School,Riverside,Riverside County
567,Nuview Bridge Academy,Nuevo,Riverside County
568,Orange Grove High School,Corona,Riverside County
569,Palm Desert High School,Palm Desert,Riverside County
570,Palm Springs High School,Palm Springs,Riverside County
571,Palm Valley High School,Rancho Mirage,Riverside County
572,Palo Verde Valley High School,Blythe,Riverside County
573,Paloma Valley High School,Menifee,Riverside County
574,Patriot High School,Riverside,Riverside County
575,Perris High School,Perris,Riverside County
576,Quadrille Academy,Indio,Riverside County
577,Polytechnic High School,Riverside,Riverside County
578,Ramona High School,Riverside,Riverside County
579,Rancho Christian School,Temecula[2],Riverside County
580,Rancho Mirage High School,Rancho Mirage [3],Riverside County
581,Rancho Verde High School,Moreno Valley,Riverside County
582,River Springs Charter School,County wide charter school,Riverside County
583,Rubidoux High School,Riverside,Riverside County
584,San Gorgonio,Cabazon,Riverside County
585,San Jacinto Senior High School,San Jacinto,Riverside County
586,Santiago High School,Corona,Riverside County
587,Seaview High School,Thermal/Mecca,Riverside County
588,Shadow Hills High School,Indio,Riverside County
589,Sherman Indian High School,Riverside,Riverside County
590,Southwest Educational Center,Wildomar,Riverside County
591,Summit High School,La Quinta,Riverside County
592,Sunnymead High School,Moreno Valley,Riverside County
593,Tahquitz High School,Hemet,Riverside County
594,Temecula Preparatory School,French Valley,Riverside County
595,Temecula Valley High School,Temecula,Riverside County
596,Temescal Canyon High School,Lake Elsinore,Riverside County
597,The Ranch Academy,1000 Palms,Riverside County
598,Val Verde High School,Perris,Riverside County
599,Valley View High School,Moreno Valley,Riverside County
600,Vista Calimesa High School,Calimesa/Yucaipa,Riverside County
601,Vista del Lago High School,Moreno Valley,Riverside County
602,Vista Murrieta High School,Murrieta,Riverside County
603,West Shores High School,Salton City/Mecca,Riverside County
604,West Valley High School,Hemet,Riverside County
605,Woodcrest Christian School,Riverside,Riverside County
606,Xavier College Preparatory,Palm Desert,Riverside County
607,Calvine High School,Sacramento,">C. K. McClatchy High School, Sacramento"
608,Casa Roble High School,Orangevale,">C. K. McClatchy High School, Sacramento"
